8,725
5,18
9,1674
11,2710
12,1870
12,200
13,638
11,122
6,216
12,1524
8,1518
10,2071
11,436
10,2479
8,1080
11,77
12,3442
12,356
5,60
7,548
13,3180
7,32
9,127
11,3465
6,627
6,300
10,1197
7,985
12,1237
5,489
9,1175
7,154
9,1159
12,2872
5,60
13,3903
11,139
14,232
14,2237
10,690
6,344
7,171
9,1323
6,163
9,272
13,3006
5,126
7,109
5,320
5,392
8,1174
5,156
10,3154
14,2622
5,380
6,111
10,160
13,5905
12,3991
13,4203
9,81
11,1686
14,4720
5,411
6,669
14,6009
11,2962
13,3321
7,174
6,703
10,243
14,8032
12,52
11,152
9,314
8,542
8,158
7,634
5,197
10,159
6,63
14,666
5,24
9,1689
13,2014
9,351
8,1013
13,1866
8,468
6,432
9,1040
12,2854
5,214
11,2347
6,344
14,62
13,2901
13,661
9,2130
10,440
