11,301
9,5
10,14
6,6
6,19
7,22
6,32
9,24
9,55
7,52
13,49
10,34
12,68
11,26
14,18
9,10
9,260
14,35
8,14
14,46
14,49
8,17
13,86
12,34
14,1307
10,44
11,1
7,15
11,23
6,26
9,33
7,66
16,50
9,21
15,1318
8,27
8,41
12,14
8,14
6,29
16,56
6,41
16,11
10,6
11,5
5,16
15,6
16,46
6,20
9,44
6,128
16,315
9,41
5,7
15,29
7,11
16,50
6,2
8,236
9,17
7,24
7,366
13,34
5,63
15,56
9,11
5,0
9,51
11,60
12,5
9,45
5,12
9,10
14,52
12,34
10,25
10,30
16,75
13,13
16,67
12,27
7,3
12,11
5,6
12,172
14,8
6,17
9,10
15,407
13,9
8,9
16,9
8,2
16,61
12,59
10,12
8,124
12,44
16,41
12,59
