12,156
29,874
23,552
27,759
7,56
11,133
10,112
7,59
9,91
16,274
17,310
28,812
22,507
10,112
5,32
20,422
22,511
24,602
23,554
21,465
12,157
8,75
25,650
13,185
23,553
24,602
19,381
25,655
24,606
12,158
27,761
5,31
22,507
10,112
18,344
26,702
24,603
7,57
16,273
6,42
26,702
22,507
24,601
11,135
9,91
19,381
26,704
25,653
14,214
27,758
18,343
20,423
25,653
10,110
12,158
13,188
28,813
14,213
22,508
7,56
12,158
7,57
19,380
9,94
9,94
24,603
25,651
26,705
25,655
21,471
27,759
10,110
26,702
20,426
22,510
26,702
13,182
20,421
5,33
23,557
17,309
23,555
11,132
27,759
7,56
15,243
29,872
21,464
13,183
12,157
16,276
11,132
12,158
29,872
5,33
19,382
28,812
17,308
27,758
